Step,AgentID,Wealth,category,vision
1,2500,15.0,ant,4
1,2501,6.0,ant,5
1,2502,22.0,ant,3
1,2503,22.9,ant,5
1,2504,11.9,ant,1
1,2505,12.95,ant,2
1,2506,7.95,ant,3
1,2507,7.95,ant,4
1,2508,8.85,ant,4
1,2509,22.0,ant,3
1,2510,21.0,ant,2
1,2511,18.85,ant,3
1,2512,3.0,ant,1
1,2513,20.85,ant,4
1,2514,9.95,ant,1
1,2515,16.95,ant,3
1,2516,18.0,ant,4
1,2517,16.9,ant,4
1,2518,19.85,ant,5
1,2519,12.0,ant,3
1,2520,24.85,ant,3
1,2521,9.85,ant,2
1,2522,15.95,ant,4
1,2523,15.0,ant,4
1,2524,14.9,ant,2
1,2525,22.0,ant,3
1,2526,23.85,ant,3
1,2527,17.0,ant,4
1,2528,10.95,ant,5
1,2529,16.85,ant,3
1,2530,22.0,ant,3
1,2531,9.9,ant,3
1,2532,19.95,ant,2
1,2533,24.9,ant,2
1,2534,23.9,ant,4
1,2535,5.9,ant,4
1,2536,20.9,ant,5
1,2537,24.9,ant,1
1,2538,6.9,ant,5
1,2539,15.85,ant,2
1,2540,20.0,ant,5
1,2541,17.9,ant,2
1,2542,6.0,ant,1
1,2543,20.95,ant,5
1,2544,7.95,ant,1
1,2545,22.9,ant,2
1,2546,15.0,ant,3
1,2547,15.95,ant,3
1,2548,16.9,ant,4
1,2549,18.85,ant,5
1,2550,18.85,ant,2
1,2551,18.0,ant,1
1,2552,6.95,ant,5
1,2553,15.0,ant,5
1,2554,6.85,ant,4
1,2555,8.9,ant,1
1,2556,10.9,ant,3
1,2557,19.9,ant,2
1,2558,6.0,ant,5
1,2559,11.0,ant,2
1,2560,5.95,ant,2
1,2561,23.0,ant,3
1,2562,12.0,ant,4
1,2563,13.85,ant,1
1,2564,23.0,ant,3
1,2565,6.0,ant,1
1,2566,18.95,ant,4
1,2567,20.85,ant,4
1,2568,10.9,ant,3
1,2569,14.9,ant,3
1,2570,17.0,ant,3
1,2571,24.85,ant,2
1,2572,22.95,ant,1
1,2573,14.95,ant,5
1,2574,12.95,ant,4
1,2575,19.9,ant,4
1,2576,12.9,ant,2
1,2577,13.9,ant,1
1,2578,20.0,ant,1
1,2579,9.0,ant,2
1,2580,15.9,ant,1
1,2581,10.0,ant,3
1,2582,22.9,ant,5
1,2583,9.95,ant,5
1,2584,24.85,ant,5
1,2585,14.95,ant,3
1,2586,5.9,ant,3
1,2587,18.95,ant,2
1,2588,16.9,ant,3
1,2589,25.85,ant,2
1,2590,7.95,ant,5
1,2591,6.0,ant,3
1,2592,8.0,ant,5
1,2593,18.0,ant,2
1,2594,5.0,ant,3
1,2595,17.0,ant,3
1,2596,21.0,ant,3
1,2597,4.0,ant,3
1,2598,15.95,ant,2
1,2599,21.9,ant,3
2,2500,12.0,ant,1
2,2501,4.0,ant,1
2,2502,21.0,ant,5
2,2503,22.799999999999997,ant,5
2,2504,11.8,ant,1
2,2505,12.899999999999999,ant,1
2,2506,6.8999999999999995,ant,1
2,2507,6.8999999999999995,ant,1
2,2508,10.7,ant,1
2,2509,20.0,ant,5
2,2510,19.0,ant,5
2,2511,20.700000000000003,ant,3
2,2513,21.700000000000003,ant,4
2,2514,9.899999999999999,ant,1
2,2515,16.9,ant,2
2,2516,16.0,ant,3
2,2517,17.799999999999997,ant,2
2,2518,21.700000000000003,ant,4
2,2519,9.0,ant,1
2,2520,25.700000000000003,ant,6
2,2521,10.7,ant,1
2,2522,15.899999999999999,ant,2
2,2523,13.0,ant,1
2,2524,15.799999999999999,ant,1
2,2525,20.0,ant,5
2,2526,24.700000000000003,ant,6
2,2527,15.0,ant,3
2,2528,10.899999999999999,ant,1
2,2529,17.700000000000003,ant,2
2,2530,20.0,ant,5
2,2531,9.8,ant,1
2,2532,18.9,ant,4
2,2533,25.799999999999997,ant,6
2,2534,23.799999999999997,ant,6
2,2535,5.800000000000001,ant,1
2,2536,20.799999999999997,ant,4
2,2537,25.799999999999997,ant,6
2,2538,7.800000000000001,ant,1
2,2539,16.700000000000003,ant,1
2,2540,17.0,ant,4
2,2541,17.799999999999997,ant,3
2,2542,4.0,ant,1
2,2543,19.9,ant,4
2,2544,6.8999999999999995,ant,1
2,2545,22.799999999999997,ant,5
2,2546,13.0,ant,1
2,2547,14.899999999999999,ant,2
2,2548,16.799999999999997,ant,2
2,2549,20.700000000000003,ant,3
2,2550,20.700000000000003,ant,3
2,2551,16.0,ant,3
2,2552,6.85,ant,1
2,2553,14.0,ant,1
2,2554,7.699999999999999,ant,1
2,2555,9.8,ant,1
2,2556,11.8,ant,1
2,2557,19.799999999999997,ant,4
2,2558,4.0,ant,1
2,2559,9.0,ant,1
2,2560,5.9,ant,1
2,2561,22.0,ant,6
2,2562,11.0,ant,1
2,2563,14.700000000000001,ant,1
2,2564,22.0,ant,6
2,2565,3.0,ant,1
2,2566,17.9,ant,3
2,2567,21.700000000000003,ant,4
2,2568,10.8,ant,1
2,2569,15.799999999999999,ant,1
2,2570,16.0,ant,3
2,2571,26.700000000000003,ant,6
2,2572,21.9,ant,6
2,2573,13.899999999999999,ant,1
2,2574,12.899999999999999,ant,1
2,2575,20.799999999999997,ant,4
2,2576,12.8,ant,1
2,2577,14.799999999999999,ant,1
2,2578,18.0,ant,4
2,2579,7.0,ant,1
2,2580,16.799999999999997,ant,1
2,2581,9.0,ant,1
2,2582,23.799999999999997,ant,5
2,2583,8.899999999999999,ant,1
2,2584,26.700000000000003,ant,6
2,2585,13.899999999999999,ant,1
2,2586,5.800000000000001,ant,1
2,2587,18.9,ant,3
2,2588,16.799999999999997,ant,2
2,2589,27.700000000000003,ant,6
2,2590,6.8999999999999995,ant,1
2,2591,4.0,ant,1
2,2592,5.0,ant,1
2,2593,16.0,ant,3
2,2594,4.0,ant,1
2,2595,15.0,ant,3
2,2596,19.0,ant,5
2,2597,2.0,ant,1
2,2598,14.899999999999999,ant,2
2,2599,21.799999999999997,ant,5
3,2500,9.0,ant,1
3,2501,2.0,ant,1
3,2502,20.95,ant,5
3,2503,23.65,ant,6
3,2504,11.700000000000001,ant,1
3,2505,12.849999999999998,ant,1
3,2506,5.849999999999999,ant,1
3,2507,5.849999999999999,ant,1
3,2508,12.549999999999999,ant,1
3,2509,18.95,ant,4
3,2510,17.0,ant,4
3,2511,22.550000000000004,ant,4
3,2513,22.550000000000004,ant,5
3,2514,9.849999999999998,ant,1
3,2515,16.849999999999998,ant,3
3,2516,14.0,ant,2
3,2517,18.699999999999996,ant,3
3,2518,23.550000000000004,ant,5
3,2519,6.0,ant,1
3,2520,26.550000000000004,ant,6
3,2521,11.549999999999999,ant,1
3,2522,15.849999999999998,ant,2
3,2523,11.0,ant,1
3,2524,15.749999999999996,ant,2
3,2525,19.0,ant,4
3,2526,25.550000000000004,ant,6
3,2527,13.0,ant,1
3,2528,10.849999999999998,ant,1
3,2529,18.550000000000004,ant,3
3,2530,18.0,ant,4
3,2531,9.700000000000001,ant,1
3,2532,18.799999999999997,ant,3
3,2533,26.699999999999996,ant,6
3,2534,24.65,ant,6
3,2535,5.700000000000001,ant,1
3,2536,20.699999999999996,ant,5
3,2537,27.65,ant,6
3,2538,8.700000000000001,ant,1
3,2539,17.550000000000004,ant,2
3,2540,14.0,ant,3
3,2541,17.699999999999996,ant,3
3,2542,2.0,ant,1
3,2543,18.849999999999998,ant,4
3,2544,5.849999999999999,ant,1
3,2545,22.699999999999996,ant,6
3,2546,11.0,ant,1
3,2547,13.849999999999998,ant,1
3,2548,16.699999999999996,ant,2
3,2549,22.550000000000004,ant,4
3,2550,22.550000000000004,ant,4
3,2551,15.0,ant,2
3,2552,6.75,ant,1
3,2553,13.0,ant,1
3,2554,8.549999999999999,ant,1
3,2555,10.700000000000001,ant,1
3,2556,12.700000000000001,ant,1
3,2557,19.699999999999996,ant,4
3,2558,2.0,ant,1
3,2559,7.0,ant,1
3,2560,5.8500000000000005,ant,1
3,2561,21.95,ant,5
3,2562,10.0,ant,1
3,2563,15.550000000000002,ant,1
3,2564,21.95,ant,5
3,2566,16.849999999999998,ant,3
3,2567,22.550000000000004,ant,5
3,2568,10.700000000000001,ant,1
3,2569,16.699999999999996,ant,2
3,2570,15.0,ant,2
3,2571,28.550000000000004,ant,6
3,2572,21.799999999999997,ant,5
3,2573,12.849999999999998,ant,1
3,2574,12.849999999999998,ant,1
3,2575,21.699999999999996,ant,5
3,2576,12.700000000000001,ant,1
3,2577,15.699999999999998,ant,1
3,2578,16.0,ant,3
3,2579,5.0,ant,1
3,2580,17.699999999999996,ant,2
3,2581,8.0,ant,1
3,2582,24.699999999999996,ant,6
3,2583,7.849999999999999,ant,1
3,2584,28.550000000000004,ant,6
3,2585,12.849999999999998,ant,1
3,2586,5.700000000000001,ant,1
3,2587,18.849999999999998,ant,3
3,2588,16.699999999999996,ant,2
3,2589,29.550000000000004,ant,6
3,2590,5.849999999999999,ant,1
3,2591,2.0,ant,1
3,2592,2.0,ant,1
3,2593,14.0,ant,2
3,2594,3.0,ant,1
3,2595,13.0,ant,1
3,2596,17.0,ant,4
3,2598,13.849999999999998,ant,1
3,2599,22.65,ant,5
4,2500,6.0,ant,1
4,2502,20.9,ant,4
4,2503,24.5,ant,6
4,2504,11.600000000000001,ant,1
4,2505,12.799999999999997,ant,1
4,2506,4.799999999999999,ant,1
4,2507,4.799999999999999,ant,1
4,2508,14.399999999999997,ant,1
4,2509,17.9,ant,4
4,2510,15.0,ant,3
4,2511,24.400000000000006,ant,5
4,2513,23.400000000000006,ant,5
4,2514,9.799999999999997,ant,1
4,2515,16.799999999999997,ant,3
4,2516,12.0,ant,1
4,2517,19.599999999999994,ant,3
4,2518,25.400000000000006,ant,5
4,2519,3.0,ant,1
4,2520,27.400000000000006,ant,6
4,2521,12.399999999999999,ant,1
4,2522,15.799999999999997,ant,2
4,2523,9.0,ant,1
4,2524,15.699999999999996,ant,2
4,2525,18.0,ant,4
4,2526,26.400000000000006,ant,6
4,2527,11.0,ant,1
4,2528,10.799999999999997,ant,1
4,2529,19.400000000000006,ant,3
4,2530,16.0,ant,3
4,2531,9.600000000000001,ant,1
4,2532,18.699999999999996,ant,4
4,2533,28.549999999999997,ant,6
4,2534,25.5,ant,6
4,2535,5.600000000000001,ant,1
4,2536,21.549999999999997,ant,4
4,2537,29.5,ant,6
4,2538,9.600000000000001,ant,1
4,2539,18.400000000000006,ant,3
4,2540,11.0,ant,1
4,2541,17.599999999999994,ant,3
4,2543,17.799999999999997,ant,4
4,2544,5.749999999999998,ant,1
4,2545,22.599999999999994,ant,5
4,2546,9.0,ant,1
4,2547,12.799999999999997,ant,1
4,2548,16.599999999999994,ant,2
4,2549,24.400000000000006,ant,5
4,2550,24.400000000000006,ant,5
4,2551,14.0,ant,2
4,2552,6.65,ant,1
4,2553,12.0,ant,1
4,2554,9.399999999999999,ant,1
4,2555,11.600000000000001,ant,1
4,2556,13.600000000000001,ant,1
4,2557,19.599999999999994,ant,4
4,2559,5.0,ant,1
4,2560,5.800000000000001,ant,1
4,2561,21.9,ant,5
4,2562,9.0,ant,1
4,2563,16.400000000000006,ant,2
4,2564,22.849999999999998,ant,5
4,2566,15.799999999999997,ant,3
4,2567,23.400000000000006,ant,5
4,2568,10.600000000000001,ant,1
4,2569,17.599999999999994,ant,2
4,2570,14.0,ant,2
4,2571,30.400000000000006,ant,6
4,2572,21.699999999999996,ant,4
4,2573,11.799999999999997,ant,1
4,2574,12.799999999999997,ant,1
4,2575,22.599999999999994,ant,4
4,2576,12.600000000000001,ant,1
4,2577,16.599999999999994,ant,2
4,2578,14.0,ant,2
4,2579,3.0,ant,1
4,2580,18.599999999999994,ant,3
4,2581,7.0,ant,1
4,2582,25.599999999999994,ant,6
4,2583,6.799999999999998,ant,1
4,2584,30.400000000000006,ant,6
4,2585,11.799999999999997,ant,1
4,2586,5.600000000000001,ant,1
4,2587,18.799999999999997,ant,4
4,2588,16.599999999999994,ant,2
4,2589,31.400000000000006,ant,6
4,2590,4.799999999999999,ant,1
4,2593,12.0,ant,1
4,2594,2.0,ant,1
4,2595,11.0,ant,1
4,2596,15.0,ant,3
4,2598,12.799999999999997,ant,1
4,2599,23.5,ant,5
5,2500,3.0,ant,1
5,2502,20.849999999999998,ant,4
5,2503,25.35,ant,5
5,2504,11.500000000000002,ant,1
5,2505,12.749999999999996,ant,1
5,2506,3.749999999999999,ant,1
5,2507,3.749999999999999,ant,1
5,2508,16.25,ant,1
5,2509,16.849999999999998,ant,3
5,2510,13.0,ant,2
5,2511,26.250000000000007,ant,5
5,2513,24.250000000000007,ant,5
5,2514,9.749999999999996,ant,1
5,2515,16.749999999999996,ant,3
5,2516,10.0,ant,1
5,2517,20.499999999999993,ant,4
5,2518,27.250000000000007,ant,6
5,2520,28.250000000000007,ant,6
5,2521,12.299999999999999,ant,1
5,2522,16.699999999999996,ant,2
5,2523,7.0,ant,1
5,2524,16.599999999999994,ant,2
5,2525,17.0,ant,3
5,2526,27.250000000000007,ant,6
5,2527,9.0,ant,1
5,2528,10.749999999999996,ant,1
5,2529,20.250000000000007,ant,4
5,2530,14.0,ant,2
5,2531,9.500000000000002,ant,1
5,2532,18.599999999999994,ant,3
5,2533,30.4,ant,6
5,2534,26.35,ant,6
5,2535,4.550000000000002,ant,1
5,2536,22.4,ant,4
5,2537,31.35,ant,6
5,2538,10.500000000000002,ant,1
5,2539,19.250000000000007,ant,3
5,2540,8.0,ant,1
5,2541,17.499999999999993,ant,3
5,2543,16.749999999999996,ant,3
5,2544,5.649999999999999,ant,1
5,2545,23.449999999999996,ant,5
5,2546,7.0,ant,1
5,2547,11.749999999999996,ant,1
5,2548,16.499999999999993,ant,2
5,2549,26.250000000000007,ant,5
5,2550,26.250000000000007,ant,5
5,2551,13.0,ant,1
5,2552,6.550000000000001,ant,1
5,2553,11.0,ant,1
5,2554,10.249999999999998,ant,1
5,2555,12.500000000000002,ant,1
5,2556,14.500000000000002,ant,1
5,2557,19.499999999999993,ant,4
5,2559,3.0,ant,1
5,2560,5.750000000000001,ant,1
5,2561,22.799999999999997,ant,4
5,2562,8.0,ant,1
5,2563,17.250000000000007,ant,2
5,2564,23.749999999999996,ant,5
5,2566,14.749999999999996,ant,2
5,2567,24.250000000000007,ant,5
5,2568,10.500000000000002,ant,1
5,2569,18.499999999999993,ant,3
5,2570,13.0,ant,1
5,2571,32.25000000000001,ant,6
5,2572,21.599999999999994,ant,4
5,2573,10.749999999999996,ant,1
5,2574,12.749999999999996,ant,1
5,2575,23.499999999999993,ant,5
5,2576,12.500000000000002,ant,1
5,2577,17.499999999999993,ant,2
5,2578,12.0,ant,1
5,2579,1.0,ant,1
5,2580,19.499999999999993,ant,3
5,2581,6.0,ant,1
5,2582,27.449999999999996,ant,6
5,2583,5.749999999999997,ant,1
5,2584,32.25000000000001,ant,6
5,2585,10.749999999999996,ant,1
5,2586,5.500000000000002,ant,1
5,2587,19.699999999999996,ant,4
5,2588,16.499999999999993,ant,2
5,2589,33.25000000000001,ant,6
5,2590,3.749999999999999,ant,1
5,2593,10.0,ant,1
5,2594,1.0,ant,1
5,2595,9.0,ant,1
5,2596,13.0,ant,2
5,2598,11.749999999999996,ant,1
5,2599,24.35,ant,5
