Step,AgentID,Wealth,category,vision
1,2500,23.9,ant,5
1,2501,21.85,ant,4
1,2502,19.0,ant,2
1,2503,11.9,ant,3
1,2504,12.9,ant,1
1,2505,11.95,ant,2
1,2506,15.0,ant,4
1,2507,6.0,ant,1
1,2508,13.0,ant,1
1,2509,16.9,ant,5
1,2510,20.85,ant,1
1,2511,4.0,ant,1
1,2512,20.95,ant,3
1,2513,24.9,ant,1
1,2514,17.9,ant,2
1,2515,18.0,ant,1
1,2516,17.0,ant,3
1,2517,15.85,ant,5
1,2518,11.0,ant,1
1,2519,15.85,ant,2
1,2520,6.9,ant,5
1,2521,16.95,ant,5
1,2522,12.9,ant,1
1,2523,14.0,ant,1
1,2524,11.95,ant,3
1,2525,22.9,ant,5
1,2526,10.9,ant,3
1,2527,13.9,ant,2
1,2528,7.95,ant,2
1,2529,12.0,ant,3
1,2530,22.85,ant,5
1,2531,19.9,ant,4
1,2532,12.95,ant,2
1,2533,16.9,ant,1
1,2534,20.9,ant,1
1,2535,8.0,ant,1
1,2536,9.9,ant,3
1,2537,12.85,ant,5
1,2538,23.0,ant,3
1,2539,13.9,ant,1
1,2540,12.85,ant,3
1,2541,10.95,ant,5
1,2542,6.85,ant,4
1,2543,14.9,ant,2
1,2544,13.95,ant,3
1,2545,14.0,ant,2
1,2546,6.0,ant,3
1,2547,6.9,ant,3
1,2548,19.95,ant,5
1,2549,14.0,ant,4
1,2550,9.9,ant,3
1,2551,15.95,ant,2
1,2552,6.0,ant,1
1,2553,3.0,ant,3
1,2554,5.9,ant,3
1,2555,15.95,ant,2
1,2556,18.95,ant,2
1,2557,11.9,ant,5
1,2558,11.0,ant,3
1,2559,12.85,ant,1
1,2560,14.85,ant,4
1,2561,22.0,ant,4
1,2562,22.9,ant,3
1,2563,17.95,ant,3
1,2564,15.0,ant,1
1,2565,20.95,ant,3
1,2566,16.95,ant,1
1,2567,10.95,ant,1
1,2568,7.9,ant,1
1,2569,12.0,ant,3
1,2570,19.95,ant,1
1,2571,5.0,ant,4
1,2572,20.9,ant,3
1,2573,13.0,ant,2
1,2574,7.9,ant,5
1,2575,23.9,ant,4
1,2576,7.0,ant,5
1,2577,24.85,ant,4
1,2578,13.9,ant,3
1,2579,21.0,ant,4
1,2580,8.9,ant,4
1,2581,22.0,ant,3
1,2582,24.85,ant,2
1,2583,21.9,ant,2
1,2584,20.95,ant,5
1,2585,22.95,ant,3
1,2586,13.9,ant,4
1,2587,22.0,ant,5
1,2588,9.9,ant,3
1,2589,16.85,ant,1
1,2590,21.85,ant,4
1,2591,12.9,ant,3
1,2592,16.9,ant,5
1,2593,8.95,ant,5
1,2594,11.95,ant,1
1,2595,22.85,ant,4
1,2596,5.0,ant,5
1,2597,20.85,ant,5
1,2598,6.95,ant,1
1,2599,7.0,ant,3
2,2500,24.799999999999997,ant,6
2,2501,22.700000000000003,ant,5
2,2502,17.0,ant,4
2,2503,12.8,ant,1
2,2504,12.8,ant,1
2,2505,11.899999999999999,ant,1
2,2506,12.0,ant,2
2,2507,5.0,ant,1
2,2508,12.0,ant,1
2,2509,17.799999999999997,ant,3
2,2510,21.700000000000003,ant,4
2,2511,1.0,ant,1
2,2512,19.9,ant,5
2,2513,25.799999999999997,ant,6
2,2514,17.799999999999997,ant,3
2,2515,16.0,ant,4
2,2516,14.0,ant,3
2,2517,16.700000000000003,ant,2
2,2518,8.0,ant,1
2,2519,16.700000000000003,ant,2
2,2520,7.800000000000001,ant,1
2,2521,16.9,ant,3
2,2522,12.8,ant,1
2,2523,12.0,ant,2
2,2524,11.899999999999999,ant,1
2,2525,23.799999999999997,ant,6
2,2526,10.8,ant,1
2,2527,14.799999999999999,ant,1
2,2528,6.8999999999999995,ant,1
2,2529,10.0,ant,1
2,2530,24.700000000000003,ant,6
2,2531,20.799999999999997,ant,4
2,2532,11.899999999999999,ant,1
2,2533,17.799999999999997,ant,3
2,2534,20.799999999999997,ant,4
2,2535,6.0,ant,1
2,2536,10.8,ant,1
2,2537,14.700000000000001,ant,1
2,2538,22.0,ant,6
2,2539,13.799999999999999,ant,1
2,2540,13.700000000000001,ant,1
2,2541,11.85,ant,1
2,2542,7.699999999999999,ant,1
2,2543,14.799999999999999,ant,2
2,2544,12.899999999999999,ant,1
2,2545,12.0,ant,2
2,2546,4.0,ant,1
2,2547,6.800000000000001,ant,1
2,2548,19.9,ant,4
2,2549,12.0,ant,2
2,2550,9.8,ant,1
2,2551,15.899999999999999,ant,3
2,2552,3.0,ant,1
2,2554,5.800000000000001,ant,1
2,2555,14.899999999999999,ant,3
2,2556,17.9,ant,4
2,2557,12.8,ant,1
2,2558,9.0,ant,1
2,2559,13.700000000000001,ant,1
2,2560,15.700000000000001,ant,2
2,2561,20.0,ant,5
2,2562,23.799999999999997,ant,6
2,2563,16.9,ant,3
2,2564,13.0,ant,2
