Step,AgentID,Wealth,category,vision
18,2500,23.0,ant,3
18,2501,33.0,ant,3
18,2502,4.0,ant,5
18,2503,9.0,ant,1
18,2504,14.0,ant,3
18,2505,25.0,ant,1
18,2506,40.0,ant,2
18,2507,23.0,ant,4
18,2508,6.0,ant,2
18,2509,50.0,ant,3
18,2510,3.0,ant,5
18,2511,7.0,ant,2
18,2512,16.0,ant,2
18,2513,44.0,ant,4
18,2514,21.0,ant,2
18,2515,44.0,ant,1
18,2516,29.0,ant,3
18,2518,35.0,ant,4
18,2519,26.0,ant,4
18,2520,39.0,ant,4
18,2521,31.0,ant,5
18,2522,57.0,ant,1
18,2523,30.0,ant,5
18,2524,26.0,ant,4
18,2525,29.0,ant,3
18,2526,41.0,ant,5
18,2527,19.0,ant,4
18,2529,54.0,ant,4
18,2530,38.0,ant,1
18,2531,30.0,ant,5
18,2532,40.0,ant,2
18,2533,52.0,ant,3
18,2535,33.0,ant,2
18,2536,11.0,ant,1
18,2537,28.0,ant,5
18,2538,32.0,ant,4
18,2539,41.0,ant,4
18,2540,26.0,ant,2
18,2542,31.0,ant,1
18,2544,29.0,ant,4
18,2545,33.0,ant,5
18,2546,30.0,ant,4
18,2547,14.0,ant,4
18,2548,44.0,ant,3
18,2549,44.0,ant,5
18,2550,13.0,ant,3
18,2553,29.0,ant,3
18,2554,38.0,ant,2
18,2555,29.0,ant,5
18,2557,25.0,ant,5
18,2559,37.0,ant,1
18,2561,18.0,ant,2
18,2563,30.0,ant,2
18,2566,42.0,ant,3
18,2567,39.0,ant,1
18,2568,24.0,ant,4
18,2569,23.0,ant,1
18,2571,23.0,ant,3
18,2573,12.0,ant,2
18,2576,20.0,ant,4
18,2577,28.0,ant,3
18,2580,19.0,ant,1
18,2581,18.0,ant,3
18,2582,27.0,ant,1
18,2586,36.0,ant,5
18,2587,34.0,ant,4
18,2588,24.0,ant,3
18,2589,50.0,ant,5
18,2591,36.0,ant,4
18,2593,2.0,ant,2
18,2594,40.0,ant,5
18,2596,2.0,ant,4
18,2598,42.0,ant,3
18,2599,3.0,ant,3
